threshold,train_rmse,test_rmse,train_r2,test_r2
1.0,129814.73530507005,116076.21093778042,0.12175370954109976,0.03199736550764287
2.0,69363.72586893945,67196.43865009323,0.7492544893182169,0.6755986849261915
3.0,64534.892235755106,61464.43410302096,0.7829511354931322,0.7285824861217651
4.0,56230.12108399206,49440.085681988225,0.8352192871850062,0.8243902912290564
5.0,43532.04424515943,41687.51178091507,0.9012387760253917,0.8751461205715089
6.0,41827.76985398002,41209.86831351779,0.9088203838988604,0.8779908092270765
7.0,40712.599364259746,41763.20424523094,0.9136174534519959,0.874692311884226
8.0,40712.599364259746,41763.20424523094,0.9136174534519959,0.874692311884226
9.0,40712.599364259746,41763.20424523094,0.9136174534519959,0.874692311884226
10.0,40712.599364259746,41763.20424523094,0.9136174534519959,0.874692311884226
11.0,37986.42702565604,37250.939403564225,0.9247987201445868,0.9003070259874997
12.0,37986.42702565604,37250.939403564225,0.9247987201445868,0.9003070259874997
13.0,37986.42702565604,37250.939403564225,0.9247987201445868,0.9003070259874997
14.0,2188.2965269407723,2706.75346953262,0.9997504367216886,0.9994736344015333
15.0,2188.2965269407723,2706.75346953262,0.9997504367216886,0.9994736344015333
16.0,2184.0904233406327,2722.519456125159,0.9997513951660237,0.9994674847158377
17.0,2183.060509513296,2719.0844468239443,0.9997516295713256,0.9994688276197425
18.0,2166.464207095197,2722.7070145450953,0.9997553915946416,0.9994674113417684
19.0,2166.464207095197,2722.7070145450953,0.9997553915946416,0.9994674113417684
20.0,2166.464207095197,2722.7070145450953,0.9997553915946416,0.9994674113417684
21.0,2166.464207095197,2722.7070145450953,0.9997553915946416,0.9994674113417684
22.0,2166.464207095197,2722.7070145450953,0.9997553915946416,0.9994674113417684
23.0,2151.2893992398426,2707.0642356484977,0.9997588062698078,0.9994735135290678
24.0,2151.2893992398426,2707.0642356484977,0.9997588062698078,0.9994735135290678
25.0,2151.2893992398426,2707.0642356484977,0.9997588062698078,0.9994735135290678
26.0,2151.2893992398426,2707.0642356484977,0.9997588062698078,0.9994735135290678
27.0,2143.1239513730234,2687.536792934306,0.9997606337479636,0.9994810817673383
28.0,2143.1239513730234,2687.536792934306,0.9997606337479636,0.9994810817673383
29.0,2143.1239513730234,2687.536792934306,0.9997606337479636,0.9994810817673383
30.0,2143.1239513730234,2687.536792934306,0.9997606337479636,0.9994810817673383
31.0,2143.1239513730234,2687.536792934306,0.9997606337479636,0.9994810817673383
32.0,2143.1239513730234,2687.536792934306,0.9997606337479636,0.9994810817673383
33.0,2142.4239041113933,2683.1543266617446,0.999760790099463,0.9994827727488198
34.0,2142.4239041113933,2683.1543266617446,0.999760790099463,0.9994827727488198
35.0,2142.4239041113933,2683.1543266617446,0.999760790099463,0.9994827727488198
36.0,2142.4239041113933,2683.1543266617446,0.999760790099463,0.9994827727488198
37.0,2142.4239041113933,2683.1543266617446,0.999760790099463,0.9994827727488198
38.0,2142.4239041113933,2683.1543266617446,0.999760790099463,0.9994827727488198
39.0,2142.4239041113933,2683.1543266617446,0.999760790099463,0.9994827727488198
40.0,2142.4239041113933,2683.1543266617446,0.999760790099463,0.9994827727488198
41.0,2142.4239041113933,2683.1543266617446,0.999760790099463,0.9994827727488198
42.0,2142.4239041113933,2683.1543266617446,0.999760790099463,0.9994827727488198
43.0,2121.118594035594,2681.0357622987112,0.9997655240835678,0.9994835892107046
44.0,2121.118594035594,2681.0357622987112,0.9997655240835678,0.9994835892107046
45.0,2121.118594035594,2681.0357622987112,0.9997655240835678,0.9994835892107046
46.0,2121.118594035594,2681.0357622987112,0.9997655240835678,0.9994835892107046
47.0,2120.814294032395,2684.961463973151,0.9997655913555291,0.9994820757964149
48.0,2118.4768346379137,2673.7592559617356,0.9997661077786255,0.9994863885520319
49.0,2118.4768346379137,2673.7592559617356,0.9997661077786255,0.9994863885520319
