alpha,train_rmse,test_rmse,train_r2,test_r2
0.0,1106.2777656846717,1686.5647854969832,0.9999160642746211,0.9998836078422416
10.0,1132.7238376250248,1639.5404606898123,0.9999120032646132,0.9998900077869025
20.0,1184.8382265823495,1676.8661558155363,0.9999037198861676,0.9998849426248988
30.0,1214.5473435687277,1704.4598580038896,0.9998988310186698,0.9998811248116438
40.0,1236.7648627790722,1730.307962418936,0.9998950958288922,0.9998774919927484
50.0,1255.7843883821818,1753.3272214904318,0.9998918444924715,0.9998742107249846
60.0,1266.0075054169677,1764.332425882721,0.9998900763752377,0.9998726266724067
70.0,1270.9935393785097,1773.324674658004,0.9998892088255484,0.9998713249999615
80.0,1276.1052685222505,1780.1716140610324,0.9998883158653401,0.9998703294340598
90.0,1281.4042205043127,1787.007083350602,0.9998873864160116,0.9998693317090351
100.0,1288.9223846647592,1792.921392256061,0.9998860611025899,0.9998684653537744
110.0,1295.7317530878565,1800.3018527978313,0.9998848540456722,0.9998673802148896
120.0,1303.0772098523614,1809.8481655184207,0.999883544828651,0.9998659700218422
130.0,1309.4096061879702,1817.3145430058737,0.9998824102341443,0.9998648618818106
140.0,1316.1539987487258,1824.9018031100532,0.9998811957723286,0.9998637311271803
150.0,1319.642568202837,1835.383841193919,0.9998805651378053,0.9998621612040983
160.0,1324.0825506694162,1844.3646535617015,0.9998797601004504,0.9998608089714347
170.0,1328.4284680796684,1853.5146241397465,0.9998789694998395,0.9998594244805858
180.0,1333.37222532241,1862.5663094845643,0.9998780669916506,0.9998580481198474
190.0,1338.303691855336,1872.675232615834,0.9998771633872318,0.9998565030744374
200.0,1342.9783628462253,1880.873824920368,0.9998763037563045,0.9998552438618689
210.0,1347.8539681369596,1891.710395917015,0.999875403981854,0.99985357104466
220.0,1352.9779481576027,1901.4500253326594,0.9998744548567401,0.9998520593596519
230.0,1358.7762295865016,1909.9901605086113,0.9998733764860165,0.9998507274599661
240.0,1363.6955150028102,1921.4745272186974,0.9998724579760305,0.9998489269748239
250.0,1370.578571140289,1933.4520346905028,0.9998711672269085,0.9998470376778785
260.0,1376.3085566308537,1943.1946411754002,0.999870087751342,0.9998454922489242
270.0,1382.7254910453057,1955.114172804652,0.9998688735152419,0.9998435909382201
280.0,1388.4723071420499,1966.0259367245867,0.9998677812872439,0.9998418401847936
290.0,1395.159450598761,1977.0507060378131,0.9998665046400268,0.9998400614041596
300.0,1401.9643121550964,1988.5153900092528,0.999865199222447,0.9998382010957746
310.0,1409.2930931478168,2000.093468522926,0.9998637861942234,0.9998363114708761
320.0,1417.0728160827123,2013.070224207914,0.9998622781606973,0.999834180533604
330.0,1424.3014549356774,2022.8851658710373,0.9998608695095561,0.999832559650322
340.0,1432.3472887837704,2035.5585834192843,0.9998592931823092,0.9998304550436753
350.0,1439.5985207143756,2047.4749650912368,0.9998578649247954,0.9998284641639852
360.0,1446.2617742513921,2056.9020416474355,0.9998565461212024,0.9998268809415228
370.0,1453.0053815537187,2066.756976547035,0.9998552052131829,0.9998252180873317
380.0,1459.9148677692772,2077.247647879984,0.9998538248517091,0.9998234392297654
390.0,1466.9854598806444,2087.4916038889237,0.9998524055255806,0.9998216935154075
400.0,1474.2149404486424,2097.7620535984447,0.9998509472144474,0.999819934664983
410.0,1481.5786668976914,2108.282269347954,0.9998494544536112,0.999818124091505
420.0,1489.0819078803102,2118.960642466304,0.9998479257601509,0.9998162770359453
430.0,1496.744115822497,2129.471938332184,0.9998463567096816,0.999814449766239
440.0,1504.5466442980014,2140.091229656977,0.9998447506491348,0.9998125945410105
450.0,1512.4791313610417,2150.9226506744108,0.9998431092776916,0.9998106927489958
460.0,1520.5452640198841,2161.911809459728,0.9998414314021477,0.9998087534494284
470.0,1528.7444851329822,2173.0026789129533,0.9998397166957335,0.9998067861802344
480.0,1537.0776487986973,2184.1675035957505,0.9998379645293368,0.999804795625638
490.0,1545.5428439385714,2195.4349352267104,0.9998361748487989,0.9998027764351883
500.0,1554.1232062892766,2207.0122962290943,0.9998343507892372,0.999800690881388
510.0,1563.078178431742,2215.109381162385,0.9998324363235812,0.9997992257484024
520.0,1572.037538795027,2225.4906607192233,0.9998305099120881,0.9997973394508207
530.0,1580.8253476092023,2238.697290954237,0.9998286096908645,0.999794927035086
540.0,1589.8948748404507,2250.573326109941,0.9998266374450103,0.9997927454863312
550.0,1599.3550233980366,2259.809429196801,0.999824568233017,0.9997910408967382
560.0,1608.6153542648888,2271.9058768547197,0.999822530837559,0.9997887978509862
570.0,1617.8646091492337,2285.5931086581145,0.9998204841375087,0.9997862453855724
580.0,1627.6740058831067,2294.9344147168295,0.9998183006658433,0.9997844945685452
590.0,1637.0895194333336,2308.9822001917323,0.9998161924541266,0.9997818481838354
600.0,1646.9632395801345,2319.856510681846,0.9998139685840076,0.9997797885432532
610.0,1656.6249371181195,2334.135373946958,0.999811779523223,0.9997770693697513
620.0,1666.6805316619882,2345.2305697183515,0.999809487618835,0.9997749449533653
